witness,solver_mode,n,mean_totalTime,median_totalTime,mean_guards,median_guards,mean_iterations
ALL_VERTICES,1,18,0.548008,0.159094,8.5,7.5,1.88889
ALL_VERTICES,2,18,0.761577,0.171598,8.5,7.5,1.94444
ALL_VERTICES,3,18,0.507248,0.147784,8.5,7.5,1.88889
CONVEX_VERTICES,1,18,0.529235,0.0947185,8.5,7.5,1.83333
CONVEX_VERTICES,2,18,0.564651,0.096929,8.5,7.5,1.83333
CONVEX_VERTICES,3,18,0.508378,0.078957,8.5,7.5,1.83333
CHWA_POINTS,1,18,0.286401,0.109266,8.5,7.5,1.5
CHWA_POINTS,2,18,0.309071,0.104603,8.5,7.5,1.44444
CHWA_POINTS,3,18,0.275184,0.098427,8.5,7.5,1.5
CHWA_POINTS_EXTENDED,1,18,0.377941,0.18451,8.5,7.5,1.38889
CHWA_POINTS_EXTENDED,2,18,0.411448,0.194613,8.5,7.5,1.38889
CHWA_POINTS_EXTENDED,3,18,0.350166,0.167002,8.5,7.5,1.38889
